"DISCIPLINA Name"
"Introduction to Computer Programming",
"Introduction to Matlab and Mathematica",
"Computação para Engenharia - UnB",
"INTRODUCAO A CIENCIA DA COMPUTACAO - UnB",
"Algoritmos e Programação de Computadores - UnB",
